Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Holdings As Of Date,Acctg Status Update (CDT),Price Date,Income Rate Type Desc,Payment Frequency Desc,Issuer Name,Base Issuer Name,Ticker,5500 Category Description,Asset Type Description,S&P Base LT Rating,S&P Parent LT Rating,S&P Ultimate LT Rating,S&P Quality Rating - Non GRS,Moody's Base LT Rating,Moody's Parent LT Rating,Moody's Ultimate LT Rating,Moody Quality Rating - Non GRS,Fitch Base LT Rating,Fitch Base ST Rating,Fitch Parent LT Rating,Fitch Parent ST Rating,Fitch Ultimate LT Rating,Fitch Ultimate ST Rating,Fair Value Hierarchy Level,Frequency Requirement,Frequency Requirement Desc,Income Rate Type,Issue Type Description,Payment Frequency,Price Source,Price Source Description,Price Type Description,Security Type,Security Type Description,Current Yield,Modified Duration,Yield to Call,Yield to Maturity,Option Adjusted Duration,YTM At Book,YTM At Market
MILLENNIUM TTF FI,911312BL9,UNITED PARCEL SERVICE INC,2.800% 11/15/2024 DD 11/14/17,0.03,11/15/24,"5,000,000.00","4,982,350.00","4,848,200.00","-134,150.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL LONG,United Parcel Service Inc,United Parcel Service Inc,UPS,CORPORATE DEBT INSTRUMENTS,TRANSPORTATION,A,A,A,A,A2,A2,A2,BAA3,,,,,,,2.00,D,DAILY,F,CORP-GOVT,2,T,IDSI,CLOSE,B,BOND,2.89,,6.09,5.61,,0.00,0.00
MILLENNIUM TTF FI,3133EMUK6,FEDERAL FARM CR BK CONS BD,1.050% 03/25/2026 DD 03/25/21,0.01,3/25/26,"15,000,000.00","15,000,000.00","13,557,900.00","-1,442,100.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,1.16,,552.54,5.25,,0.00,0.00
MILLENNIUM TTF FI,3133ENYM6,FEDERAL FARM CR BK CONS BD,3.780% 06/08/2028 DD 06/08/22,0.04,6/8/28,"5,000,000.00","5,000,000.00","4,685,250.00","-314,750.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,A3,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,4.03,,340.36,5.29,,0.00,0.00
MILLENNIUM TTF FI,742718GA1,PROCTER & GAMBLE CO/THE,4.050% 01/26/2033 DD 01/26/23,0.04,1/26/33,"5,000,000.00","4,999,600.00","4,668,950.00","-330,650.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Procter & Gamble Co/The,Procter & Gamble Co/The,PG,CORPORATE DEBT INSTRUMENTS,HOUSEHOLD PRODUCTS,AA-,AA-,AA-,AA-,Aa3,Aa3,Aa3,WR,,NR,,NR,,NR,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,4.35,,4.97,4.97,,0.00,0.00
MILLENNIUM TTF FI,3130AMK92,FEDERAL HOME LN BK CONS BD,0.550% 11/26/2024 DD 05/26/21,0.01,11/26/24,"3,000,000.00","3,000,000.00","2,834,340.00","-165,660.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Home Loan Banks,FHLB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,NR,,,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.58,,37.78,5.66,,0.00,0.00
MILLENNIUM TTF FI,882508BG8,TEXAS INSTRUMENTS INC,2.250% 09/04/2029 DD 09/04/19,0.02,9/4/29,"3,500,000.00","3,489,115.00","2,982,140.00","-506,975.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Texas Instruments Inc,Texas Instruments Inc,TXN,CORPORATE DEBT INSTRUMENTS,TECHNOLOGY,A+,A+,A+,A+,Aa3,Aa3,Aa3,,WD,WD,WD,WD,WD,WD,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,2.65,,5.33,5.21,,0.00,0.00
MILLENNIUM TTF FI,023135BZ8,AMAZON.COM INC,2.100% 05/12/2031 DD 05/12/21,0.02,5/12/31,"5,000,000.00","4,999,100.00","4,009,500.00","-989,600.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Amazon.com Inc,Amazon.com Inc,AMZN,CORPORATE DEBT INSTRUMENTS,COMMUNICATIONS,AA,AA,AA,AA,A1,A1,A1,AAA,AA-,F1+,AA-,F1+,AA-,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,2.62,,5.42,5.32,,0.00,0.00
MILLENNIUM TTF FI,91282CEX5,U S TREASURY NOTE,3.000% 06/30/2024 DD 06/30/22,0.03,6/30/24,"20,000,000.00","19,554,685.50","19,636,800.00","82,114.50",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,United States Treasury Note/Bond,T,U. S. GOVERNMENT SECURITIES,US GOVERNMENTS,AA+,AA+,AA+,,Aaa,Aaa,Aaa,,AA+,F1+,AA+,F1+,AA+,F1+,1.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,3.06,,5.52,5.52,,0.00,0.00
MILLENNIUM TTF FI,254687FK7,WALT DISNEY CO/THE,1.750% 08/30/2024 DD 09/06/19,0.02,8/30/24,"10,000,000.00","9,959,200.00","9,646,400.00","-312,800.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Walt Disney Co/The,Walt Disney Co/The,DIS,CORPORATE DEBT INSTRUMENTS,COMMUNICATIONS,A-,A-,A-,A-,A2,A2,A2,AAA,A-,F2,A-,F2,A-,F2,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,1.81,,6.13,5.75,,0.00,0.00
MILLENNIUM TTF FI,532457CF3,ELI LILLY & CO,4.700% 02/27/2033 DD 02/27/23,0.05,2/27/33,"2,000,000.00","1,995,740.00","1,925,980.00","-69,760.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Eli Lilly & Co,Eli Lilly & Co,LLY,CORPORATE DEBT INSTRUMENTS,HEALTH CARE,A+,A+,A+,A+,A1,A1,A1,,WD,WD,WD,WD,WD,WD,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,4.90,,5.25,5.24,,0.00,0.00
MILLENNIUM TTF FI,3134GWZG4,FEDERAL HOME LN MTG CORP,0.600% 10/20/2025 DD 10/20/20,0.01,10/20/25,"15,000,000.00","15,000,000.00","13,656,450.00","-1,343,550.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Home Loan Mortgage Corp,FHLMC,U. S. GOVERNMENT SECURITIES,US AGENCIES,NR,,AA+,,Aaa,,Aaa,AAA,AA+,F1+,,,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.66,,160.67,5.23,,0.00,0.00
MILLENNIUM TTF FI,3133EMSG8,FEDERAL FARM CR BK CONS BD,1.100% 03/03/2027 DD 03/03/21,0.01,3/3/27,"20,000,000.00","19,978,000.00","17,507,000.00","-2,471,000.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,1.26,,739.81,5.14,,0.00,0.00
MILLENNIUM TTF FI,3133EMLP5,FEDERAL FARM CR BK CONS BD,0.320% 12/23/2024 DD 12/23/20,0.00,12/23/24,"18,000,000.00","18,000,000.00","16,898,220.00","-1,101,780.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.34,,342.89,5.62,,0.00,0.00
MILLENNIUM TTF FI,931142EN9,WALMART INC,3.250% 07/08/2029 DD 04/23/19,0.03,7/8/29,"5,000,000.00","4,994,100.00","4,569,950.00","-424,150.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Walmart Inc,Walmart Inc,WMT,CORPORATE DEBT INSTRUMENTS,RETAIL,AA,AA,AA,AA,Aa2,Aa2,Aa2,A3,AA,F1+,AA,F1+,AA,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,3.56,,5.09,5.02,,0.00,0.00
MILLENNIUM TTF FI,88579YBB6,3M CO,3.250% 02/14/2024 DD 09/14/18,0.03,2/14/24,"3,000,000.00","2,992,680.00","2,969,820.00","-22,860.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,3M Co,3M Co,MMM,CORPORATE DEBT INSTRUMENTS,CAPITAL GOODS,BBB+,BBB+,BBB+,BBB+,A2,A2,A2,AAA,,,,,,,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,3.28,,6.74,5.97,,0.00,0.00
MILLENNIUM TTF FI,3133EMHF2,FEDERAL FARM CR BK CONS BD,0.600% 11/24/2025 DD 11/24/20,0.01,11/24/25,"10,000,000.00","9,989,000.00","9,057,400.00","-931,600.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.66,,533.34,5.27,,0.00,0.00
MILLENNIUM TTF FI,3133EMMP4,FEDERAL FARM CR BK CONS BD,0.390% 07/14/2025 DD 01/14/21,0.00,7/14/25,"10,000,000.00","10,000,000.00","9,164,100.00","-835,900.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AA3,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.43,,483.23,5.48,,0.00,0.00
MILLENNIUM TTF FI,3133EMKW1,FEDERAL FARM CR BK CONS BD,0.210% 12/21/2023 DD 12/21/20,0.00,12/21/23,"14,000,000.00","13,988,800.00","13,836,200.00","-152,600.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.21,,63.96,5.59,,0.00,0.00
MILLENNIUM TTF FI,3133EMPB2,FEDERAL FARM CR BK CONS BD,0.170% 11/03/2023 DD 02/03/21,0.00,11/3/23,"15,000,000.00","14,990,250.00","14,925,000.00","-65,250.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.17,,27.40,5.62,,0.00,0.00
MILLENNIUM TTF FI,808513BR5,CHARLES SCHWAB CORP/THE,1.150% 05/13/2026 DD 05/13/21,0.01,5/13/26,"5,000,000.00","4,988,400.00","4,429,350.00","-559,050.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Charles Schwab Corp/The,Charles Schwab Corp/The,SCHW,CORPORATE DEBT INSTRUMENTS,BANKING & FINANCE,A-,A-,A-,A-,A2,A2,A2,A2,A,F1,A,F1,A,F1,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,1.30,,6.11,5.96,,0.00,0.00
MILLENNIUM TTF FI,478160CK8,JOHNSON & JOHNSON,2.900% 01/15/2028 DD 11/10/17,0.03,1/15/28,"5,000,000.00","4,994,050.00","4,614,750.00","-379,300.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL LONG,Johnson & Johnson,Johnson & Johnson,JNJ,CORPORATE DEBT INSTRUMENTS,HEALTH CARE,AAA,AAA,AAA,AAA,Aaa,Aaa,Aaa,AAA,WD,WD,WD,WD,WD,WD,2.00,D,DAILY,F,CORP-GOVT,2,T,IDSI,CLOSE,B,BOND,3.15,,5.07,4.95,,0.00,0.00
MILLENNIUM TTF FI,91282CHD6,U S TREASURY NOTE,4.250% 05/31/2025 DD 05/31/23,0.04,5/31/25,"20,000,000.00","19,890,625.00","19,703,200.00","-187,425.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,United States Treasury Note/Bond,T,U. S. GOVERNMENT SECURITIES,US GOVERNMENTS,AA+,AA+,AA+,,Aaa,Aaa,Aaa,AAA,AA+,F1+,AA+,F1+,AA+,F1+,1.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,4.32,,5.22,5.22,,0.00,0.00
MILLENNIUM TTF FI,3133EPEC5,FEDERAL FARM CR BK CONS BD,5.930% 03/28/2033 DD 03/28/23,0.06,3/28/33,"10,000,000.00","10,000,000.00","9,752,600.00","-247,400.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,NR,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,6.03,,9.33,6.16,,0.00,0.00
MILLENNIUM TTF FI,9128285M8,U S TREASURY NOTE,3.125% 11/15/2028 DD 11/15/18,0.03,11/15/28,"10,000,000.00","9,935,937.50","9,313,300.00","-622,637.50",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,United States Treasury Note/Bond,T,U. S. GOVERNMENT SECURITIES,US GOVERNMENTS,AA+,AA+,AA+,,Aaa,Aaa,Aaa,AAA,AA+,F1+,AA+,F1+,AA+,F1+,1.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,3.36,,4.68,4.69,,0.00,0.00
MILLENNIUM TTF FI,3133EMTQ5,FEDERAL FARM CR BK CONS BD,0.700% 03/17/2025 DD 03/17/21,0.01,3/17/25,"20,000,000.00","19,973,500.00","18,668,200.00","-1,305,300.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,0.75,,371.58,5.53,,0.00,0.00
MILLENNIUM TTF FI,806854AJ4,SCHLUMBERGER INVESTMENT SA,2.650% 06/26/2030 DD 06/26/20,0.03,6/26/30,"4,500,000.00","4,482,360.00","3,810,465.00","-671,895.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Schlumberger NV,Schlumberger Investment SA,SLB,CORPORATE DEBT INSTRUMENTS,OIL & GAS,,A,A,A,A2,A2,A2,A2,,,,,,,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,3.13,,5.50,5.41,,0.00,0.00
MILLENNIUM TTF FI,3133EME40,FEDERAL FARM CR BK CONS BD,0.330% 06/03/2024 DD 06/03/21,0.00,6/3/24,"14,000,000.00","13,994,400.00","13,514,760.00","-479,640.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,0.34,,188.76,5.70,,0.00,0.00
MILLENNIUM TTF FI,3133ENZM5,FEDERAL FARM CR BK CONS BD,4.470% 06/29/2029 DD 06/29/22,0.04,6/29/29,"10,000,000.00","10,000,000.00","9,438,800.00","-561,200.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,BA1,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,4.73,,301.62,5.60,,0.00,0.00
MILLENNIUM TTF FI,3133EMH47,FEDERAL FARM CR BK CONS BD,0.600% 06/16/2025 DD 06/16/21,0.01,6/16/25,"5,000,000.00","5,000,000.00","4,613,350.00","-386,650.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,0.65,,442.61,5.50,,0.00,0.00
MILLENNIUM TTF FI,3133ENGD6,FEDERAL FARM CR BK CONS BD,1.780% 12/06/2028 DD 12/06/21,0.02,12/6/28,"6,450,000.00","6,448,387.50","5,458,312.50","-990,075.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,2.08,,858.04,4.95,,0.00,0.00
MILLENNIUM TTF FI,716973AD4,PFIZER INVESTMENT ENTERPRISES,4.650% 05/19/2030 DD 05/19/23,0.05,5/19/30,"5,000,000.00","4,991,150.00","4,792,500.00","-198,650.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Pfizer Inc,Pfizer Investment Enterprises Pte Ltd,PFE,CORPORATE DEBT INSTRUMENTS,HEALTH CARE,,A+,A+,A+,A1,A1,A1,WR,,,A,F1,A,F1,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,4.87,,5.47,5.45,,0.00,0.00
MILLENNIUM TTF FI,458140BP4,INTEL CORP,3.400% 03/25/2025 DD 03/25/20,0.03,3/25/25,"5,000,000.00","4,992,250.00","4,844,700.00","-147,550.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Intel Corp,Intel Corp,INTC,CORPORATE DEBT INSTRUMENTS,TECHNOLOGY,A,A,A,A,A2,A2,A2,,A-,F2,A-,F2,A-,F2,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,3.51,,5.76,5.63,,0.00,0.00
MILLENNIUM TTF FI,91282CFM8,U S TREASURY NOTE,4.125% 09/30/2027 DD 09/30/22,0.04,9/30/27,"10,000,000.00","9,996,484.38","9,793,800.00","-202,684.38",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,United States Treasury Note/Bond,T,U. S. GOVERNMENT SECURITIES,US GOVERNMENTS,AA+,AA+,AA+,,Aaa,Aaa,Aaa,,AA+,F1+,AA+,F1+,AA+,F1+,1.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,4.22,,4.73,4.73,,0.00,0.00
MILLENNIUM TTF FI,3133EMAB8,FEDERAL FARM CR BK CONS BD,0.390% 06/17/2024 DD 09/17/20,0.00,6/17/24,"13,500,000.00","13,486,500.00","13,011,570.00","-474,930.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,WR,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.41,,192.85,5.58,,0.00,0.00
MILLENNIUM TTF FI,902494AX1,TYSON FOODS INC,3.950% 08/15/2024 DD 08/08/14,0.04,8/15/24,"2,000,000.00","1,993,920.00","1,966,020.00","-27,900.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL LONG,Tyson Foods Inc,Tyson Foods Inc,TSN,CORPORATE DEBT INSTRUMENTS,FOOD PRODUCTS,BBB+,BBB+,BBB+,BBB+,Baa2,Baa2,Baa2,BAA2,BBB,F2,BBB,F2,BBB,F2,2.00,D,DAILY,F,CORP-GOVT,2,T,IDSI,CLOSE,B,BOND,4.02,,6.76,5.96,,0.00,0.00
MILLENNIUM TTF FI,110122DU9,BRISTOL-MYERS SQUIBB CO,2.950% 03/15/2032 DD 03/02/22,0.03,3/15/32,"3,500,000.00","3,487,295.00","2,922,885.00","-564,410.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL LONG,Bristol-Myers Squibb Co,Bristol-Myers Squibb Co,BMY,CORPORATE DEBT INSTRUMENTS,HEALTH CARE,A+,A+,A+,A+,A2,A2,A2,,WD,WD,WD,WD,WD,WD,2.00,D,DAILY,F,CORP-GOVT,2,T,IDSI,CLOSE,B,BOND,3.54,,5.49,5.42,,0.00,0.00
MILLENNIUM TTF FI,3133EMKZ4,FEDERAL FARM CR BK CONS BD,0.790% 06/21/2027 DD 12/21/20,0.01,6/21/27,"22,000,000.00","21,992,500.00","18,814,620.00","-3,177,880.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,A2,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.93,,883.73,5.17,,0.00,0.00
MILLENNIUM TTF FI,3133EMMN9,FEDERAL FARM CR BK CONS BD,0.190% 01/11/2024 DD 01/11/21,0.00,1/11/24,"20,000,000.00","19,982,400.00","19,704,800.00","-277,600.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AA3,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.19,,79.80,5.60,,0.00,0.00
MILLENNIUM TTF FI,3133ENHB9,FEDERAL FARM CR BK CONS BD,1.840% 12/14/2028 DD 12/14/21,0.02,12/14/28,"10,000,000.00","10,000,000.00","8,483,200.00","-1,516,800.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,NR,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,2.17,,905.13,5.16,,0.00,0.00
MILLENNIUM TTF FI,3133ENZD5,FEDERAL FARM CR BK CONS BD,4.470% 06/22/2028 DD 06/22/22,0.04,6/22/28,"10,000,000.00","10,000,000.00","9,570,800.00","-429,200.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,4.67,,229.58,5.50,,0.00,0.00
MILLENNIUM TTF FI,717081EA7,PFIZER INC,3.000% 12/15/2026 DD 11/21/16,0.03,12/15/26,"5,000,000.00","4,957,400.00","4,681,750.00","-275,650.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL LONG,Pfizer Inc,Pfizer Inc,PFE,CORPORATE DEBT INSTRUMENTS,HEALTH CARE,A+,A+,A+,A+,A1,A1,A1,AAA,A,F1,A,F1,A,F1,2.00,D,DAILY,F,CORP-GOVT,2,T,IDSI,CLOSE,B,BOND,3.21,,5.22,5.22,,0.00,0.00
MILLENNIUM TTF FI,3133EMYN6,FEDERAL FARM CR BK CONS BD,0.710% 05/06/2025 DD 05/06/21,0.01,5/6/25,"16,000,000.00","16,000,000.00","14,858,240.00","-1,141,760.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,NR,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,0.77,,402.57,5.50,,0.00,0.00
